SpecialDay,Month,TrafficType,VisitorType,Weekend,Revenue,Administrative_Duration_log,Informational_Duration_log,ProductRelated_log,ProductRelated_Duration_log,BounceRates_log,ExitRates_log,PageValues_log
0.0,Feb,1,Returning_Visitor,0,0,-1.0,-1.0,0.0,-1.0,-1.6094379124341003,-1.6094379124341003,-1.0
0.0,Feb,2,Returning_Visitor,0,0,-1.0,-1.0,0.6931471805599453,4.1588830833596715,-10.0,-2.3025850929940455,-1.0
0.0,Feb,3,Returning_Visitor,0,0,-1.0,-1.0,0.0,-1.0,-1.6094379124341003,-1.6094379124341003,-1.0
0.0,Feb,4,Returning_Visitor,0,0,-1.0,-1.0,0.6931471805599453,0.9808292531367262,-2.995732273553991,-1.9661128563728327,-1.0
0.0,Feb,4,Returning_Visitor,1,0,-1.0,-1.0,2.302585092994046,6.441743671005939,-3.912023005428146,-2.995732273553991,-1.0
0.0,Feb,3,Returning_Visitor,0,0,-1.0,-1.0,2.9444389791664403,5.038358540243076,-4.148411763492376,-3.7065790112133374,-1.0
0.4,Feb,3,Returning_Visitor,0,0,-1.0,-1.0,0.0,-1.0,-1.6094379124341003,-1.6094379124341003,-1.0
0.0,Feb,5,Returning_Visitor,1,0,-1.0,-1.0,-1.0,-1.0,-1.6094379124341003,-1.6094379124341003,-1.0
0.8,Feb,3,Returning_Visitor,0,0,-1.0,-1.0,0.6931471805599453,3.6109179126442243,-10.0,-3.683254265196953,-1.0
0.4,Feb,2,Returning_Visitor,0,0,-1.0,-1.0,1.0986122886681098,6.6039438246004725,-10.0,-3.80666249977032,-1.0
0.0,Feb,3,Returning_Visitor,0,0,-1.0,-1.0,1.0986122886681098,5.978885764901122,-10.0,-2.70805019610221,-1.0
0.4,Feb,3,Returning_Visitor,0,0,-1.0,-1.0,2.772588722239781,6.010654241501123,-3.9765615265657175,-3.6560896441941715,-1.0
0.0,Feb,3,Returning_Visitor,0,0,-1.0,-1.0,1.9459101490553132,5.636573724962751,-10.0,-3.555348046489414,-1.0
0.0,Feb,3,Returning_Visitor,0,0,-1.0,-1.0,1.791759469228055,4.584967478670572,-10.0,-2.70805019610221,-1.0
0.0,Feb,3,Returning_Visitor,0,0,-1.0,-1.0,0.6931471805599453,4.219507705176107,-10.0,-2.3025850929940455,-1.0
0.0,Feb,3,Returning_Visitor,0,0,3.970291913552122,-1.0,3.1354942159291497,7.419551502963307,-4.7874917827820465,-4.115815256769228,-1.0
0.0,Feb,3,Returning_Visitor,0,0,-1.0,-1.0,0.0,-1.0,-1.6094379124341003,-1.6094379124341003,-1.0
